subscription_id,project_id__hashed,plan_id,reporting_date,subscription_period_start,subscription_period_end,subscription_period_number,cumulative_data_usage_megabyte,cumulative_voice_usage_minutes,cumulative_sms_usage,number_of_addons_activated
sub_2a48e9b9b9c5b62a4f1ab9fb696f,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-23 00:00:00,2024-01-24,2024-02-24,1,403.45088,5.0,2.000000000,0
sub_772f21d82c2bef2b04c52a001490,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-23 00:00:00,2024-01-24,2024-02-24,1,328.209408,0.0,0.000000000,0
sub_ccac898e5ecc77a103cff9d8b08c,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-23 00:00:00,2024-01-24,2024-02-24,1,65.371136,1.0,3.000000000,0
sub_0402dcce2c0a0b29ceb134081bc2,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-24 00:00:00,2024-01-25,2024-02-25,1,0.28467200000000004,0.0,0.000000000,0
sub_a8bb952d937259bda0e4f4dda8ec,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-25 00:00:00,2024-01-26,2024-02-26,1,857.698304,87.0,81.000000000,0
sub_23c9dcb2b5dbdb2bcff4530c809f,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-25 00:00:00,2024-01-26,2024-02-26,1,0.0,0.0,0.000000000,0
sub_ba66172cd854782d36c1656562a5,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-26 00:00:00,2024-01-27,2024-02-27,1,175.63443199999998,44.0,13.000000000,0
sub_cbdb823b2f5daad04df74f72ece0,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_1d3f49d61a672755efc1865c4d9a,2024-02-26 00:00:00,2024-01-27,2024-02-27,1,560.8161279999999,302.0,229.000000000,0
sub_c66fea019416dd87c75b1c565066,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-26 00:00:00,2024-01-27,2024-02-27,1,137.558016,1312.0,832.000000000,0
sub_df3fcc8311d4b3512249e86afdf6,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_1d3f49d61a672755efc1865c4d9a,2024-02-27 00:00:00,2024-01-28,2024-02-28,1,6316.6208,1308.0,974.000000000,0
sub_2d660add152dc5063ef2a0594a91,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-27 00:00:00,2024-01-28,2024-02-28,1,82.921472,4.0,205.000000000,0
sub_f578486681b633d5361e52520e3b,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-27 00:00:00,2024-01-28,2024-02-28,1,101.189632,1071.0,868.000000000,0
sub_457024d114a8c408b5e74e9701b0,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-27 00:00:00,2024-01-28,2024-02-28,1,10.92608,0.0,0.000000000,0
sub_4340625999714d99cd7dee6615bf,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-27 00:00:00,2024-01-28,2024-02-28,1,266.395648,62.0,784.000000000,0
sub_5028ea83ece0ad87aac867ed4f56,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-27 00:00:00,2024-01-28,2024-02-28,1,25167.166463999998,1391.0,129.000000000,0
sub_42de5d8465be234764a13fa0544f,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-27 00:00:00,2024-01-28,2024-02-28,1,7.416832,1.0,0.000000000,0
sub_679dce5785937897d7cb1352eb59,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,0.20479999999999998,0.0,7.000000000,0
sub_e28ca4406923c595a97bae68bbeb,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,84.813824,1038.0,239.000000000,0
sub_6c84f69c285d4edc5e8d64285a2a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,1496.6302719999999,307.0,481.000000000,0
sub_a208ec533fe345af24be956861fb,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,15.538176000000002,3.0,7.000000000,0
sub_e4559ce4943e1ef16c2e7c4ee0fa,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,95.393792,60.0,8.000000000,0
sub_5e6cf8c8d556f3873b1b42eab535,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,230.56486399999997,814.0,3943.000000000,0
sub_ffc6560e6c48d0d0c2fe7dbcb6ac,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,102.634496,120.0,2.000000000,0
sub_947e24058696be3bab6a484974f7,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,382.56537599999996,264.0,1109.000000000,0
sub_b13243d58f4f74d50faf380cd904,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,7075.15904,537.0,292.000000000,0
sub_14bcb379a5d9e5cf201df81b9820,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-28 00:00:00,2024-01-29,2024-02-29,1,68.492288,27.0,57.000000000,0
sub_79028c07c5eb4e64ad1f23ac7d57,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-30,2024-02-29,1,2.412544,16.0,2.000000000,0
sub_043a43fcd6c9b339c71dc0a1981e,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-30,2024-02-29,1,397.109248,12.0,0.000000000,0
sub_a9591016617963fdfc24c447929b,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,3854.3585279999998,37.0,597.000000000,0
sub_2ff8dad969fe02fba755edb3acc8,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,80.457728,0.0,787.000000000,0
sub_297474e2494a6387605f5ffbf0f8,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,6790.066176,200.0,262.000000000,0
sub_0750cc83964ef185fb19e8aa9dad,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,589.3314559999999,9.0,41.000000000,0
sub_73113cc3dda99b9eacb5fa230815,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,171.949056,881.0,636.000000000,0
sub_b05e7896bd868c694cf9da00ae15,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,191.746048,57.0,932.000000000,0
sub_fbdf60b89777aeaea6d125d9988d,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-30,2024-02-29,1,148.297728,67.0,64.000000000,0
sub_91f1c36e08a2e13a6331bf351d9e,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,36.380672,0.0,0.000000000,0
sub_907890bf7d6711324b31db27c840,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,55.200768,282.0,241.000000000,0
sub_0f2fad811ae002162ed2a67c03cb,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,7.612416,238.0,51.000000000,0
sub_b31d73742aa9431346bc19f5912b,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,36.647936,27.0,102.000000000,0
sub_90c928ba3121b8331edaf6d19ca0,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,291.014656,157.0,565.000000000,0
sub_a0d0a9756058fc3410d987cdc4fa,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-30,2024-02-29,1,119.645184,2042.0,2251.000000000,0
sub_c14a6dc2b00d1a675b7a93108ba5,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,1207.8417919999997,8.0,73.000000000,0
sub_abc7cba1137d81bdd650450d8aaf,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,3.18464,3.0,133.000000000,0
sub_8062a013d7b67ba3e1a21e8db02f,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-30,2024-02-29,1,1662.4711679999998,1345.0,987.000000000,0
sub_46400a14f806f9f9b2fe5d62a6d4,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-02-01,2024-03-01,1,207.903744,215.0,948.000000000,0
sub_ce5bfe4ac5e8239cecb5cf08fbe9,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,48.35635200000001,371.0,1.000000000,0
sub_c8260d39452263059284b7218172,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-30,2024-02-29,1,106.913792,259.0,361.000000000,0
sub_f82a53a9ae02ff65116af6aa7370,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-29 00:00:00,2024-01-31,2024-02-29,1,56.259584000000004,0.0,4.000000000,0
sub_c54bc82a61cc2ec1edfd75aa0e7f,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,72.81664,29.0,121.000000000,0
sub_efa4c7fd077e5fcdc20acd74ffcc,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-01 00:00:00,2024-02-29,2024-03-01,1,1.770496,0.0,14.000000000,0
sub_2b4a109d2c05646fd7082bf0a761,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,0.0,0.0,0.000000000,0
sub_8ca03c0ee5e5666c777b72799bba,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,53.522432,0.0,4.000000000,0
sub_00c293981b06a82c927baddf53ce,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,110.166016,3.0,3.000000000,0
sub_bc3cd0a225686bff623341e829b7,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,77.075456,20.0,1.000000000,0
sub_d1d5206ed2fbbce9f5f1b7c05b24,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_1d3f49d61a672755efc1865c4d9a,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,3177.709568,513.0,591.000000000,0
sub_65dc00f564d1c97f85bc1215aea3,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,114.51392000000001,3.0,60.000000000,0
sub_e801da2ae1da8afcf5e59be821a5,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-01 00:00:00,2024-02-02,2024-03-02,1,80.93081600000001,1146.0,720.000000000,0
sub_012fe67f91631f45ff9c35b67ebb,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_1d3f49d61a672755efc1865c4d9a,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,19.33824,15.0,16.000000000,0
sub_2ac3d7c757daeefb4dbf04ab84cc,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,164.599808,3.0,10.000000000,0
sub_2ac40f13710f1bfc06c9b332c771,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,80.53657599999998,8.0,57.000000000,0
sub_2ae104fc112f8d20f1da1638852e,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,196.54144,693.0,1266.000000000,0
sub_a0eca1fabde60df6dc03c6bd4454,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,0.0,0.0,0.000000000,0
sub_e146caa4c267b99168279bc5a39f,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,32.991232,379.0,1069.000000000,0
sub_6ae6ff7acea34d637b87f11263d9,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,3.831808,3.0,13.000000000,0
sub_6d8dd4b10d68f5373488f93116ee,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-02 00:00:00,2024-02-03,2024-03-03,1,519.612416,300.0,1337.000000000,0
sub_68ab144bc848f4dcf9610df072ac,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,8632.271872,122.0,76.000000000,0
sub_c595a489c0a98486fead79895291,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,115.756032,40.0,79.000000000,0
sub_83169082c62eeacb82afd2f63243,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,812.65664,41.0,36.000000000,0
sub_ca64333ea71eccafa2b4486ee638,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,528.956416,448.0,744.000000000,0
sub_8f55adb18b16ae8b77ed4e88decd,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,74.454016,23.0,55.000000000,0
sub_60ee1c2442917c583ce7e11580d4,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,16.340992,2.0,0.000000000,0
sub_b8058383d06e412aa124e6462250,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,85.945344,25.0,32.000000000,0
sub_610bc9d301304a48eb209825bb88,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,0.3328,0.0,7.000000000,0
sub_330080a699bfa73092ed61e387f9,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,956.521472,881.0,619.000000000,0
sub_f795b5238e1e4a1e4a54a6eda012,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,75.296768,0.0,0.000000000,0
sub_f1d9d30687a5f850f1b266e795b4,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-03 00:00:00,2024-02-04,2024-03-04,1,282.046464,10.0,866.000000000,0
sub_d833a039f54d7c76c7c5c3dd5c76,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,73.05727999999999,68.0,705.000000000,0
sub_2c51fb26fe045913a5e603adccf6,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,166.417408,94.0,201.000000000,0
sub_560ef74a37048bc1a8d4c54a2fdb,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_1d3f49d61a672755efc1865c4d9a,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,22615.018496000004,157.0,787.000000000,0
sub_ef18e65711aad3844f9c309cfd8e,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,1522.6470399999998,339.0,232.000000000,0
sub_fd88aa90afc69aeefb4dd24d3b6f,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,109.58848,4.0,1.000000000,0
sub_b3e47f0c33188a96009d3b16aa32,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,57.57952,6.0,0.000000000,0
sub_ad052e070ea4e37348bc2c281364,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,5014.020096,165.0,1575.000000000,0
sub_7261b3426c72d296748c02cc056b,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,3.678208,400.0,68.000000000,0
sub_9c729628c5a513a48d6e8622cbd0,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-04 00:00:00,2024-02-05,2024-03-05,1,18.74944,2.0,73.000000000,0
sub_a530ee27a57b069f401072f83c92,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-05 00:00:00,2024-02-06,2024-03-06,1,273.24416,603.0,2026.000000000,0
sub_6db2cce4d763b1a2ced2486d4e2a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-05 00:00:00,2024-02-06,2024-03-06,1,992.3184639999998,366.0,173.000000000,0
sub_35a1a052b65a5f7ba0ad6ff4b2ba,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-03-05 00:00:00,2024-02-06,2024-03-06,1,257.445888,99.0,11.000000000,0
